name,food_group,food_subgroup
Nutritional drink,Beverages,Nutritional beverages
Other sandwich,Dishes,Sandwiches
Ketchup,Baking goods,Condiments
Breakfast sandwich,Dishes,Sandwiches
Butterfat,Milk and milk products,Other milk products
Horned melon,Gourds,Gourds
Hushpuppy,Dishes,American cuisine
Fruit juice,Beverages,Other beverages
Relish,Baking goods,Condiments
Fruit salad,Fruits,Fruit products
Soy yogurt,Soy,Soy products
Cold cut,Dishes,Ground meat
Mixed nuts,Nuts,Nuts
Canola,Herbs and spices,Oilseed crops
Babassu palm,Herbs and Spices,Oilseed crops
Shea tree,Herbs and Spices,Oilseed crops
Oil-seed Camellia,Herbs and Spices,Oilseed crops
Ucuhuba,Herbs and Spices,Oilseed crops
Phyllo dough,Baking goods,Baking goods
Cooking oil,Baking goods,Baking goods
Shortening,Fats and oils,Vegetable fats
Soy cream,Soy,Soy products
Ice cream cone,Baking goods,Wrappers
Molasses,Baking goods,Baking goods
Cracker,Snack foods,Snack foods
Nance,Fruits,Tropical fruits
Naranjilla,Fruits,Tropical fruits
Natto,Soy,Soy products
Ravioli,Dishes,Pasta dishes
Scrapple,Dishes,American cuisine
Succotash,Dishes,American cuisine
Tamale,Dishes,Latin American cuisine
Rice cake,Dishes,Asian cuisine
Tree fern,Vegetables,Other vegetables
Evaporated milk,Milk and milk products,Other milk products
Flour,Cereals and cereal products,Cereal products
Akutaq,Confectioneries,Desserts
Dough,Cereals and cereal products,Doughs
Pita bread,Cereals and cereal products,Flat breads
Focaccia,Cereals and cereal products,Flat breads
Bagel,Cereals and cereal products,Leavened breads
Piki bread,Cereals and cereal products,Flat breads
French toast,Cereals and cereal products,Leavened breads
Wheat bread,Cereals and cereal products,Leavened breads
Rye bread,Cereals and cereal products,Leavened breads
Oat bread,Cereals and cereal products,Leavened breads
Potato bread,Cereals and cereal products,Other breads
Cornbread,Cereals and cereal products,Flat breads
Corn grits,Cereals and cereal products,Cereal products
Multigrain bread,Cereals and cereal products,Leavened breads
Rice bread,Cereals and cereal products,Leavened breads
Pan dulce,Cereals and cereal products,Leavened breads
Raisin bread,Cereals and cereal products,Sweet breads
Wonton wrapper,Baking goods,Wrappers
Trail mix,Snack foods,Snack foods
Greenthread tea,Teas,Herbal teas
Fruit-flavor drink,Beverages,Other beverages
Vegetable juice,Beverages,Other beverages
Horchata,Beverages,Other beverages
Soft drink,Beverages,Other beverages
Frozen yogurt,Confectioneries,Frozen desserts
Milkshake,Confectioneries,Frozen desserts
Chocolate mousse,Confectioneries,Desserts
Dripping,Fats and oils,Animal fats
Pupusa,Dishes,Latin American cuisine
Empanada,Dishes,Latin American cuisine
Arepa,Dishes,Latin American cuisine
Ascidians,Aquatic foods,Other aquatic foods
Gefilte fish,Dishes,Jewish cuisine
Yellow pond-lily,Herbs and Spices,Herbs
Other dish,Dishes,Other dishes
Stuffing,Baking goods,Baking goods
Edible shell,Baking goods,Wrappers
Fudge,Confectioneries,Candies
Candy bar,Confectioneries,Candies
Condensed milk,Milk and milk products,Other milk products
Margarine,Fats and oils,Vegetable fats
Margarine-like spread,Fats and oils,Vegetable fats
Hummus,Dishes,Levantine cuisine
Potato puffs,Dishes,Potato dishes
Potato gratin,Dishes,Potato dishes
Milk substitute,Baking goods,Substitutes
Soft-necked garlic,Herbs and Spices,Herbs
Cabbage,Vegetables,Cabbages
Chinese bayberry,Fruits,Berries
Mushrooms,Vegetables,Mushrooms
Alcoholic beverages,Beverages,Alcoholic beverages
Pomes,Fruits,Pomes
Brassicas,Vegetables,Brassicas
Citrus,Fruits,Citrus
Cocoa and cocoa products,Cocoa and cocoa products,Cocoa and cocoa products
Coffee and coffee products,Coffee and coffee products,Coffee and coffee products
Crustaceans,Aquatic foods,Crustaceans
Milk and milk products,Milk and milk products,Milk and milk products
Fats and oils,Fats and oils,Fats and oils
Fishes,Aquatic foods,Fishes
Herbs and Spices,Herbs and Spices,Herbs and Spices
Pulses,Pulses,Pulses
Mollusks,Aquatic foods,Mollusks
Nuts,Nuts,Nuts
Beverages,Beverages,Beverages
Fruits,Fruits,Fruits
Green vegetables,Vegetables,Green vegetables
Root vegetables,Vegetables,Root vegetables
Sunburst squash (pattypan squash),Gourds,Gourds
Green zucchini,Gourds,Gourds
Yellow zucchini,Gourds,Gourds
Green bell pepper,Vegetables,Fruit vegetables
Yellow bell pepper,Vegetables,Fruit vegetables
Orange bell pepper,Vegetables,Fruit vegetables
Red bell pepper,Vegetables,Fruit vegetables
Italian sweet red pepper,Vegetables,Fruit vegetables
Yellow wax bean,Pulses,Beans
Green bean,Pulses,Beans
Saskatoon berry,Fruits,Berries
Nanking cherry,Fruits,Berries
Japanese pumpkin,Gourds,Gourds
White cabbage,Vegetables,Cabbages
Romaine lettuce,Vegetables,Leaf vegetables
Rabbiteye blueberry,Fruits,Berries
Yali pear,Fruits,Pomes
Asparagus racemosus,Vegetables,Shoot vegetables
Evergreen blackberry,Fruits,Berries
Asparagus fern,Herbs and Spices,Herbs
Thornless blackberry,Fruits,Berries
Tropical highland blackberry,Fruits,Berries
Andean blackberry,Fruits,Berries
Blackberry,Fruits,Berries
Black tea,Teas,Teas
Green tea,Teas,Teas
Olive oil,Herbs and Spices,Oilseed crops
Macroalgae,Aquatic foods,Seaweed
Red wine,Beverages,Fermented beverages
linseed oil,Herbs and Spices,Oilseed crops
Rapeseed oil,Herbs and Spices,Oilseed crops
Soybean oil,Herbs and Spices,Oilseed crops
Guarana,Herbs and Spices,Herbs
Mate,Herbs and Spices,Herbs
White wine,Beverages,Fermented beverages
Sour orange,Fruits,Citrus
Egg yolk,Eggs,Eggs
White mulberry,Herbs and Spices,Herbs
Canola oil,Herbs and Spices,Oilseed crops
Dessert wine,Beverages,Fermented beverages
Red champagne,Beverages,Alcoholic beverages
Red tea,Teas,Teas
White champagne,Beverages,Alcoholic beverages
Red grape juice,Beverages,Beverages
White grape juice,Beverages,Beverages
Crosne,Vegetables,Root vegetables
Red clover,Herbs and Spices,Herbs
Partridge berry,Fruits,Berries
Mikan,Fruits,Citrus
Mozzarella cheese,Milk and milk products,Fermented milk products
Plain cream cheese,Milk and milk products,Fermented milk products
Cheddar Cheese,Milk and milk products,Fermented milk products
Parmesan cheese,Milk and milk products,Fermented milk products
Almond milk,Milk and milk products,Other milk products
Coconut milk,Milk and milk products,Other milk products
Salted butter,Milk and milk products,Other milk products
Sunflower oil,Herbs and Spices,Oilseed crops
Coconut oil,Herbs and Spices,Oilseed crops
Peanut oil,Herbs and Spices,Oilseed crops
Cottonseed oil,Herbs and Spices,Oilseed crops
Corn oil,Herbs and Spices,Oilseed crops
Avocado oil,Herbs and Spices,Oilseed crops
Grapeseed oil,Herbs and Spices,Oilseed crops
Sesame oil,Herbs and Spices,Oilseed crops
Monterey Jack cheese,Milk and milk products,Fermented milk products
Swiss cheese,Milk and milk products,Fermented milk products
Cottage cheese,Milk and milk products,Fermented milk products
Blue cheese,Milk and milk products,Fermented milk products
Clam,Aquatic foods,Bivalvia
Sour cream,Milk and milk products,Other milk products
Whole wheat bread,Cereals and cereal products,Cereals
Jalapeno pepper,Vegetables,Fruit vegetables
Greek feta cheese,Milk and milk products,Fermented milk products
Eddoe,Vegetables,Root vegetables
Plantain,Fruits,Tropical fruits
Clementine,Fruits,Citrus
Green apple,Fruits,Pomes
White onion,Vegetables,Onion-family vegetables
Red onion,Vegetables,Onion-family vegetables
Green onion,Vegetables,Onion-family vegetables
Green grape,Fruits,Berries
Red grape,Fruits,Berries
Black plum,Fruits,Berries
Green cabbage,Vegetables,Cabbages
Black raisin,Fruits,Berries
Cannellini bean,Pulses,Beans
Green lentil,Pulses,Pulses
Cubanelle pepper,Vegetables,Fruit vegetables
Acorn squash,Gourds,Gourds
Iceberg lettuce,Vegetables,Leaf vegetables
Japanese sea bass,Aquatic foods,Fishes
Pea shoots,Vegetables,Leaf vegetables
Yau choy,Vegetables,Leaf vegetables
Water spinach,Vegetables,Leaf vegetables
Chineese plum,Fruits,Berries
Green plum,Fruits,Berries
Wampee,Fruits,Berries
Pitaya,Fruits,Tropical fruits
Goji,Fruits,Berries
Monk fruit,Fruits,Berries
Cantaloupe melon,Gourds,Gourds
Hawthorn,Fruits,Berries
Lantern fruit,Fruits,Berries
White bread,Cereals and cereal products,Cereals
Cape gooseberry,Fruits,Berries
Herbal tea,Teas,Teas
Fish oil,,
Taco shell,,
Tostada shell,,
